brand,Country,Value,Glossier,,
Glossier,United Kingdom,42%,Glossier,,
Rare Beauty,United Kingdom,43%,Glossier,,
Milk Makeup,United Kingdom,5%,Glossier,,
ILIA,United Kingdom,1%,Glossier,,
Rhode Beauty,United Kingdom,9%,Glossier,,
Glossier,United States,41%,Glossier,,
Rare Beauty,United States,41%,Glossier,,
Milk Makeup,United States,5%,Glossier,,
ILIA,United States,2%,Glossier,,
Rhode Beauty,United States,11%,Glossier,,
Glossier,Australia,38%,Glossier,,
Rare Beauty,Australia,49%,Glossier,,
Milk Makeup,Australia,5%,Glossier,,
ILIA,Australia,1%,Glossier,,
Rhode Beauty,Australia,7%,Glossier,,
Glossier,Ireland,30%,Glossier,,
Rare Beauty,Ireland,53%,Glossier,,
Milk Makeup,Ireland,5%,Glossier,,
Rhode Beauty,Ireland,12%,Glossier,,
Glossier,New Zealand,45%,Glossier,,
Rare Beauty,New Zealand,43%,Glossier,,
Milk Makeup,New Zealand,5%,Glossier,,
Rhode Beauty,New Zealand,7%,Glossier,,
Glossier,Canada,37%,Glossier,,
Rare Beauty,Canada,49%,Glossier,,
Milk Makeup,Canada,4%,Glossier,,
ILIA,Canada,3%,Glossier,,
Rhode Beauty,Canada,7%,Glossier,,
Glossier,Singapore,34%,Glossier,,
Rare Beauty,Singapore,51%,Glossier,,
Milk Makeup,Singapore,6%,Glossier,,
Rhode Beauty,Singapore,9%,Glossier,,
Glossier,Kuwait,32%,Glossier,,
Rare Beauty,Kuwait,68%,Glossier,,
Glossier,Denmark,22%,Glossier,,
Rare Beauty,Denmark,64%,Glossier,,
Milk Makeup,Denmark,7%,Glossier,,
ILIA,Denmark,2%,Glossier,,
Rhode Beauty,Denmark,5%,Glossier,,
Glossier,United Arab Emirates,30%,Glossier,,
Rare Beauty,United Arab Emirates,56%,Glossier,,
Milk Makeup,United Arab Emirates,4%,Glossier,,
Rhode Beauty,United Arab Emirates,10%,Glossier,,
Glossier,Sweden,27%,Glossier,,
Rare Beauty,Sweden,59%,Glossier,,
Milk Makeup,Sweden,9%,Glossier,,
Rhode Beauty,Sweden,5%,Glossier,,
Glossier,St. Helena,53%,Glossier,,
Rare Beauty,St. Helena,36%,Glossier,,
Milk Makeup,St. Helena,11%,Glossier,,
Glossier,Norway,19%,Glossier,,
Rare Beauty,Norway,68%,Glossier,,
Milk Makeup,Norway,6%,Glossier,,
Rhode Beauty,,7%,Glossier,,
Glossier,Netherlands,25%,Glossier,,
Rare Beauty,Netherlands,63%,Glossier,,
Milk Makeup,Netherlands,4%,Glossier,,
ILIA,Netherlands,1%,Glossier,,
Rhode Beauty,Netherlands,7%,Glossier,,
Glossier,France,24%,Glossier,,
Rare Beauty,France,67%,Glossier,,
Milk Makeup,France,4%,Glossier,,
ILIA,France,1%,Glossier,,
Rhode Beauty,France,4%,Glossier,,
Glossier,Belgium,24%,Glossier,,
Rare Beauty,Belgium,70%,Glossier,,
Rhode Beauty,Belgium,6%,Glossier,,
Glossier,Greece,23%,Glossier,,
Rare Beauty,Greece,61%,Glossier,,
Milk Makeup,Greece,4%,Glossier,,
Rhode Beauty,Greece,12%,Glossier,,
Glossier,Switzerland,21%,Glossier,,
Rare Beauty,Switzerland,65%,Glossier,,
Milk Makeup,Switzerland,4%,Glossier,,
ILIA,Switzerland,2%,Glossier,,
Rhode Beauty,Switzerland,8%,Glossier,,
Glossier,Israel,27%,Glossier,,
Rare Beauty,Israel,73%,Glossier,,
Glossier,Philippines,35%,Glossier,,
Rare Beauty,Philippines,52%,Glossier,,
Milk Makeup,Philippines,3%,Glossier,,
Rhode Beauty,Philippines,10%,Glossier,,
Glossier,Austria,24%,Glossier,,
Rare Beauty,Austria,60%,Glossier,,
Milk Makeup,Austria,5%,Glossier,,
Rhode Beauty,Austria,11%,Glossier,,
Glossier,Hong Kong,30%,Glossier,,
Rare Beauty,Hong Kong,70%,Glossier,,
Glossier,Mexico,14%,Glossier,,
Rare Beauty,Mexico,80%,Glossier,,
Milk Makeup,Mexico,2%,Glossier,,
ILIA,Mexico,<1%,Glossier,,
Rhode Beauty,Mexico,4%,Glossier,,
Glossier,Portugal,14%,Glossier,,
Rare Beauty,Portugal,82%,Glossier,,
Rhode Beauty,Portugal,4%,Glossier,,
Glossier,Saudi Arabia,20%,Glossier,,
Rare Beauty,Saudi Arabia,74%,Glossier,,
Milk Makeup,Saudi Arabia,3%,Glossier,,
Rhode Beauty,Saudi Arabia,3%,Glossier,,
Glossier,Finland,18%,Glossier,,
Rare Beauty,Finland,59%,Glossier,,
Milk Makeup,Finland,13%,Glossier,,
Rhode Beauty,Finland,10%,Glossier,,
Glossier,Czechia,19%,Glossier,,
Rare Beauty,Czechia,73%,Glossier,,
Milk Makeup,Czechia,4%,Glossier,,
Rhode Beauty,Czechia,4%,Glossier,,
Glossier,Thailand,34%,Glossier,,
Rare Beauty,Thailand,63%,Glossier,,
Rhode Beauty,Thailand,3%,Glossier,,
Glossier,Germany,22%,Glossier,,
Rare Beauty,Germany,65%,Glossier,,
Milk Makeup,Germany,4%,Glossier,,
ILIA,Germany,1%,Glossier,,
Rhode Beauty,Germany,8%,Glossier,,
Glossier,Spain,13%,Glossier,,
Rare Beauty,Spain,80%,Glossier,,
