brand,queries type,query,value
glossier,glossier top queries,glossier top queries,100
glossier,glossier top queries,you glossier,20
glossier,glossier top queries,perfume glossier,13
glossier,glossier top queries,perfume,13
glossier,glossier top queries,glossier news,6
glossier,glossier top queries,glossier lip,5
glossier,glossier top queries,glossier balm,5
glossier,glossier top queries,glossier you perfume,5
glossier,glossier top queries,sephora,4
glossier,glossier top queries,sephora glossier,4
glossier,glossier top queries,glossier makeup,3
glossier,glossier top queries,glossier bag,3
glossier,glossier top queries,glossier blush,3
glossier,glossier top queries,glossier you notes,3
glossier,glossier top queries,glossier doux,3
glossier,glossier top queries,glossier uk,3
glossier,glossier top queries,glossier lip balm,2
glossier,glossier top queries,glossier you fragrantica,2
glossier,glossier top queries,glossier you doux,2
glossier,glossier top queries,glossier set,2
glossier,glossier top queries,glossier parfum,2
glossier,glossier top queries,gloss,2
glossier,glossier top queries,glossier gloss,2
glossier,glossier top queries,cloud paint glossier,2
glossier,glossier top queries,glossier concealer,2
glossier,glossier rising queries,tutaste glossier you,Breakout
glossier,glossier rising queries,glossier plush blush,2800%
glossier,glossier rising queries,parke,800%
glossier,glossier rising queries,glossier thermos,750%
glossier,glossier rising queries,glossier advent calendar,650%
glossier,glossier rising queries,glossier black friday sale,600%
glossier,glossier rising queries,uggs,450%
glossier,glossier rising queries,glossier black friday,400%
glossier,glossier rising queries,glossier tumbler,400%
glossier,glossier rising queries,scuffers,400%
glossier,glossier rising queries,glossier news,350%
glossier,glossier rising queries,ugg,350%
glossier,glossier rising queries,glossier creme de you,300%
glossier,glossier rising queries,glossier holiday,300%
glossier,glossier rising queries,shark glossier,250%
glossier,glossier rising queries,glossier hot cocoa balm,200%
glossier,glossier rising queries,hollister,200%
glossier,glossier rising queries,glossier canada,110%
glossier,glossier rising queries,glossier you fragrantica,110%
glossier,glossier rising queries,glossier set,100%
glossier,glossier rising queries,glossier you notes,100%
glossier,glossier rising queries,glossier uk,60%
glossier,glossier rising queries,glossier blush,50%
glossier,glossier rising queries,glossier you parfum,40%
